管理番号,案件番号,ステータス*,初回入力日*,更新日*,企業名*,都道府県（配属先）*,市区町村（配属先）*,最寄駅（配属先）*,雇用形態*,種別,業務内容*,求めるスキル*,開発対象*,想定年収*,勤務h*,残業時間（h）*,受注数,未経験者,40代以上,外国籍,その他・補足事項（アピールポイントなど）,勤務地市町村
nk397IE,SDe001160,変更,2021/11/22,2024/8/8,東北ｼｽﾃﾑｽﾞ･ｻﾎﾟｰﾄ盛岡,岩手県,盛岡市,JR盛岡駅,正社員,IT,各種システム開発業務,＜MUST＞ ・Javaでの開発経験,スマートフォンアプリケーション開発,300～500万円,9:00～18:00(休憩75分),20,3,不可,可,可,●Javaでのｱﾝﾄﾞﾛｲﾄﾞ向けｱﾌﾟﾘｹｰｼｮﾝ開発 ●SwiftでのiOS向けｱﾌﾟﾘｹｰｼｮﾝ開発 ※Javaでの業務系ｼｽﾃﾑ開発等の経験者でも、ｽﾏｰﾄﾌｫﾝｱﾌﾟﾘ開発に挑戦出来る案件です！ ※ﾌﾙﾘﾓｰﾄなので、自宅から1人称での業務が可能な人材が最低条件となります。,不明
nk398OE,OSe001161,-,2021/11/23,2024/8/19,ﾊｲﾚｯｸｽｺｰﾎﾟﾚｰｼｮﾝ,兵庫県,丹波市,柏原駅,正社員,その他,社内設備の治具設計,・治具設計経験,治具,400万円～,8:20～17:25,20h,3,不可,可,不可,,不明
nk399OI1,OSe001162,-,2021/11/23,2024/8/19,ﾊｲﾚｯｸｽｺｰﾎﾟﾚｰｼｮﾝ,兵庫県,丹波市,柏原駅,正社員,その他,社内設備の改善、工程改善,・機械加工経験,設備,300万～400万,8:20～17:25,20h,3,可,不可,不可,,不明
nk399OI2,OSe001162,-,2021/11/23,2024/8/19,ﾊｲﾚｯｸｽｺｰﾎﾟﾚｰｼｮﾝ,兵庫県,丹波市,柏原駅,正社員,その他,社内設備の改善、工程改善,・機械加工経験,設備,300万～400万,8:20～17:25,20h,3,可,不可,不可,,不明
nk399OE,OSe001162,-,2021/11/23,2024/8/19,ﾊｲﾚｯｸｽｺｰﾎﾟﾚｰｼｮﾝ,兵庫県,丹波市,柏原駅,正社員,その他,社内設備の改善、工程改善,・機械加工経験,設備,300万～400万,8:20～17:25,20h,3,可,不可,不可,,不明
nk400IE,OSi001163,-,2021/11/19,2024/9/17,北陸ｺﾝﾋﾟｭｰﾀ･ｻｰﾋﾞｽ富山,富山県,富山市,越中八尾,正社員,IT,・ユーザーサポート ・インフラ・ネットワークの運用管理 ・インフラ構築、各種システム開発,"＜MUST＞ 下記いずれかの経験 ・Windows、システム運用経験 ・Office365,Outlook,Skype,仮想デスクトップ等の運用経験 ・ネットワーク・サーバ構築・運用経験 ※一部未経験可(情報系学校、スクール等の出身また、それに準ずるIT基礎知識は必須)",システム,350万円～600万円,9:00～18:00,10～30H,3,不可,不可,不可,No445,不明
nk401ME,TKe001174,-,2023/12/28,2024/9/2,東京ﾄﾞﾛｳｲﾝｸﾞ,東京都,大田区,東京23区、および、神奈川県,正社員/契約社員,機電,LSI/FPGA開発に関する業務,＜MUST＞ ・Verilog-HDLでの論理設計/検証経験：3年以上 ・Linux環境での論理設計/検証業務経験 ・論理回路図の読み書きが出来ること,精密機器,400～600万円,8:30～17:30(休憩1h),20,10程度,不可,可,可,大手メーカー内にて就業可能,不明
nk402IE,OSi001181,-,2021/12/1,2024/9/18,ｲﾝﾃｯｸ東京,フルリモート,フルリモート,フルリモート,正社員,IT,・リースシステムの構築 ・基本設計、詳細設計、製造、単体テスト、結合テスト ※ローコード開発／アジャイル開発 ・フルリモート,＜MUST＞ ・PL/SQLまたはPL/pgSQLの設計・開発など ・コミュニケーション良好な方 ＜WANT＞ ・基本設計／レビュー担当 リース業務知識・設計経験 会計系システム（請求・支払・入出金等）知識・設計経験 ・詳細設計／開発／テスト担当 ローコード開発経験 アジャイル開発経験,システム,350万円～600万円,9:00～18:00,10～30H,4,不可,可,不可,フルリモート No447,不明
nk403II1,OSi001185,-,2021/12/7,2024/9/19,ｴﾇ･ﾃｨ･ﾃｨ･ｼｽﾃﾑ開発(石川),石川県,金沢市,金沢,正社員,IT,・生産管理システム開発 ・オンプレミスからのクラウドリフトアップに伴う開発 ・新規サービス開発,"＜MUST＞ システム開発経験 ＜WANT＞ ・PHP、JavaScript、RDB(Oracle,PostgreSQL)を用いた開発の実務経験 ・C言語(もしくはVB.NET)での開発実務経験 ・React(もしくはAngular、VueなどのSPA)、Ruby、RubyonRails、Selenium(Appium)、Kotlin、AWS、アジャイル開発経験",システム,350万円～600万円,9:00～18:00,10～30H,複数,,,,No448,不明
nk403II2,OSi001185,-,2021/12/7,2024/9/19,ｴﾇ･ﾃｨ･ﾃｨ･ｼｽﾃﾑ開発(石川),石川県,金沢市,金沢,正社員,IT,・生産管理システム開発 ・オンプレミスからのクラウドリフトアップに伴う開発 ・新規サービス開発,"＜MUST＞ システム開発経験 ＜WANT＞ ・PHP、JavaScript、RDB(Oracle,PostgreSQL)を用いた開発の実務経験 ・C言語(もしくはVB.NET)での開発実務経験 ・React(もしくはAngular、VueなどのSPA)、Ruby、RubyonRails、Selenium(Appium)、Kotlin、AWS、アジャイル開発経験",システム,350万円～600万円,9:00～18:00,10～30H,複数,,,,No448,不明
nk403IE,OSi001185,-,2021/12/7,2024/9/19,ｴﾇ･ﾃｨ･ﾃｨ･ｼｽﾃﾑ開発(石川),石川県,金沢市,金沢,正社員,IT,・生産管理システム開発 ・オンプレミスからのクラウドリフトアップに伴う開発 ・新規サービス開発,"＜MUST＞ システム開発経験 ＜WANT＞ ・PHP、JavaScript、RDB(Oracle,PostgreSQL)を用いた開発の実務経験 ・C言語(もしくはVB.NET)での開発実務経験 ・React(もしくはAngular、VueなどのSPA)、Ruby、RubyonRails、Selenium(Appium)、Kotlin、AWS、アジャイル開発経験",システム,350万円～600万円,9:00～18:00,10～30H,複数,,,,No448,不明
nk404IE,TKe001187,-,2023/12/28,2024/9/2,ｺｱﾃｸﾉﾛｼﾞｰ,埼玉県,入間市,小作駅,正社員,IT,半導体製造装置の設計,・設計経験,半導体製造装置,300万円～400万円,9:00～18:00(休憩1h),20h,3,不可,可,可,,不明
nk405ME,YKe001192,-,2021/12/10,2024/8/19,いすゞｴﾝｼﾞﾆｱﾘﾝｸﾞ,神奈川県,藤沢市,湘南台駅,正社員,機電,トラックのキャブ設計業務,・NX-CADでの設計経験,トラック,400万円～500万円,8:30～17:30(休憩1h),40h,3,不可,可,不可,,不明
nk406OI1,SDe001197,変更,2021/12/17,2024/8/30,ｼｼﾄﾞ静電気,宮城県,登米市,石越駅,正社員/契約社員,その他,電気設計業務,・電気系の知識,静電気除去機器,300万円～350万円,8:30～17:30（休憩70m）,20h,3,可,可,不可,車通勤推奨,不明
nk406OI2,SDe001197,変更,2021/12/17,2024/8/30,ｼｼﾄﾞ静電気,宮城県,登米市,石越駅,正社員/契約社員,その他,電気設計業務,・電気系の知識,静電気除去機器,300万円～350万円,8:30～17:30（休憩70m）,20h,3,可,可,不可,車通勤推奨,不明
nk406OE,SDe001197,変更,2021/12/17,2024/8/30,ｼｼﾄﾞ静電気,宮城県,登米市,石越駅,正社員/契約社員,その他,電気設計業務,・電気系の知識,静電気除去機器,300万円～350万円,8:30～17:30（休憩70m）,20h,3,可,可,不可,車通勤推奨,不明
nk407OE,OSe001199,-,2021/12/21,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,その他,LEDドライバのHW開発 ・DCDCコンバータ（昇圧、降圧）および周辺回路のHW詳細設計仕様書の作成 ・回路検証 ・温度検証、EMC検証,・電気回路における知識（特にDCDCコンバータ知識） ・オシロスコープ、はんだ付け ・回路シミュレーション（LTspice、PSIM）,LEDドライバ,400万～500万,8:30～17:00,40h,3,不可,可,不可,カーナビや自動車部品の開発に携われます。,不明
nk408MI1,TKe001202,変更,2023/12/28,2024/9/2,富士電機松本,長野県,松本市,松本駅,正社員,機電,半導体開発補助業務,・Excel知識 ・電気知識,車載関連半導体,300～450万円,8:30～17:30(休憩1h),20,複数,可,可,不可,大手企業のグループ企業になります。 また、車載部品開発に携われます。,不明
nk408MI2,TKe001202,変更,2023/12/28,2024/9/2,富士電機松本,長野県,松本市,松本駅,正社員,機電,半導体開発補助業務,・Excel知識 ・電気知識,車載関連半導体,300～450万円,8:30～17:30(休憩1h),20,複数,可,可,不可,大手企業のグループ企業になります。 また、車載部品開発に携われます。,不明
nk408ME,TKe001202,変更,2023/12/28,2024/9/2,富士電機松本,長野県,松本市,松本駅,正社員,機電,半導体開発補助業務,・Excel知識 ・電気知識,車載関連半導体,300～450万円,8:30～17:30(休憩1h),20,複数,可,可,不可,大手企業のグループ企業になります。 また、車載部品開発に携われます。,不明
nk409IE,SDe001222,変更,2022/1/11,2024/8/8,Sky(仙台支社),宮城県,仙台市,JR仙台駅,正社員,IT,ソフトウェア設計開発(車載系･Web系),・車載系組込経験 MDB、MATLAB歓迎 ・Web系開発経験 angular、Java歓迎,車載、Webページ・アプリケーション等,250～500万円,9:00～18:00(休憩75分) 案件によって変更あり,20,5,不可,可,可,仙台駅すぐそばに出勤して頂き、東京・名古屋・大阪のチームとリモートて繋いで就業して頂きます。 仙台地場の案件ではなく、東名阪の案件になりますので、仙台では一緒に働くことができないそうなスキルを持った方との仕事も可能かもしれません。,不明
nk410OE,YKe001229,-,2022/1/13,2024/8/19,東芝ｴﾈﾙｷﾞｰｼｽﾃﾑｽﾞ　,神奈川県　,横浜市磯子区,新杉田,正社員,その他,原子力、火力プラントの配置設計、検討業務,①原子力プラント、火力プラント ・配置設計経験（プロットプラン検討、機器配置検討、配管ルート検討、コンポジット調整、津波評価など） ・建築設計経験（建屋構造設計、意匠設計、建築設備設計） ・CAEシステム開発経験（３DCAD［E3D、PDMSなど］） ②一般土木、建築 ・構造設計、耐震設計、意匠設計、各種解析業務 ＜WANT＞ ・１級建築士、１級土木施工監理技士、１級建築施工管理技士、コンクリート技士等保有,原子力プラント 火力プラント,350万～500万,8:30～17:15 休憩12:00～13：00,20Ｈ,3,不可,不可,不可,,不明
nk411II1,OSi001235,-,2022/1/6,2024/9/13,山善,大阪府,大阪市,本町,正社員,IT,自社内RPA開発業務,＜MUST＞ 何らかのRPA開発の経験 ・要件定義 ・シナリオ作成,システム,350万円～600万円,9:00～18:00,10～30H,3,,,,No450,不明
nk411II2,OSi001235,-,2022/1/6,2024/9/13,山善,大阪府,大阪市,本町,正社員,IT,自社内RPA開発業務,＜MUST＞ 何らかのRPA開発の経験 ・要件定義 ・シナリオ作成,システム,350万円～600万円,9:00～18:00,10～30H,3,,,,No450,不明
nk411IE,OSi001235,-,2022/1/6,2024/9/13,山善,大阪府,大阪市,本町,正社員,IT,自社内RPA開発業務,＜MUST＞ 何らかのRPA開発の経験 ・要件定義 ・シナリオ作成,システム,350万円～600万円,9:00～18:00,10～30H,3,,,,No450,不明
nk412IE,NGi001271,変更,2022/1/24,2024/9/14,ｱﾙｶﾃﾞｨｱ･ﾌﾟﾗｽ,愛知県,名古屋市,名古屋,正社員/契約社員,IT,ビル設備会社債権・請求業務システム ,・VB.NET、SQLServer ・コミュニケーション能力,システム,350万円～600万円,9:00-18:00,20h,3,不可,,,基本作業はリモート、打ち合わせTeams、稀に出社あり（名駅）,不明
nk413IE,NGi001273,変更,2022/1/24,2024/9/15,日本自動化開発,愛知県,名古屋市,名古屋,正社員/契約社員,IT,車載組込系案件,＜MUST＞ ・C言語 ＜WANT＞ ・MATLAB,システム,350万円～600万円,9:00-18:00,20h,3,不可,不可,不可,,不明
nk414OE,OSe001274,-,2022/1/25,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,その他,生産設備の設計及び立上げ補助,"・各種計測器使用経験（オシロ,マルチメーター）",生産設備,350万円～500万円,8:30～17:00,20h,3,不可,可,不可,大手電機メーカーでのお仕事です。,不明
nk415IE,OSe001275,-,2022/1/25,2024/8/19,三菱電機ｴﾝｼﾞﾆｱﾘﾝｸﾞ三田事業所,兵庫県,三田市,三田駅,正社員/契約社員,IT,動画データ収集・編集・評価 取得した動画データの編集や解析，および結果まとめとその報告,・簡単な動画の撮影や編集作業（動画の切取，分割）経験 ・PPTでの報告資料作成や結果報告のプレゼンに対応可能,動画,300万円～400万円,8:30～17:00,20h,3,不可,不可,不可,大手電機メーカーでのお仕事です。,不明
nk416OE,OSe001276,-,2022/1/25,2024/8/19,住友ｺﾞﾑ工業　加古川工場,兵庫県,加古川市,東加古川駅,正社員/契約社員,その他,ビル用制振ダンパーの試験補助 試験治具の設計および外注業者との打合せ,・建築系または機械系の技術者 ・AutoCAD,ビル用制振ダンパー,300万円～400万円,8:30～17:00,20h,3,不可,可,不可,大手メーカーでのお仕事です。,不明
nk417OE,OSe001277,-,2022/1/25,2024/8/19,ﾊﾞﾝﾄﾞｰ化学　本社,兵庫県,神戸市,医療センター駅,正社員/契約社員,その他,高熱伝導シートのライン設計、改善,・枚葉製品の製造現場で、ラインの設計・改造に関する知識・経験,生産設備,350万円～550万円,9:00～17:30,20h,3,不可,可,可,大手メーカーでのお仕事です。,不明
nk418II1,OSi001294,-,2022/2/1,2024/9/16,ﾉﾊﾞｼｽﾃﾑ大阪,大阪府,大阪市,堺筋本町,正社員,IT,保険システム・WEB請求対応 ・既存のシステムのWEB請求機能にて新たに対応する領域の追加を実施。 詳細設計からの作業となる。 ・設計～結合テスト,＜MUST＞ ・PHPでのシステム開発経験 ＜WANT＞ ・保険系システムの業務知識,システム,350万円～600万円,9:00～18:00,10～30H,3,,可,可,No451,不明
nk418II2,OSi001294,-,2022/2/1,2024/9/16,ﾉﾊﾞｼｽﾃﾑ大阪,大阪府,大阪市,堺筋本町,正社員,IT,保険システム・WEB請求対応 ・既存のシステムのWEB請求機能にて新たに対応する領域の追加を実施。 詳細設計からの作業となる。 ・設計～結合テスト,＜MUST＞ ・PHPでのシステム開発経験 ＜WANT＞ ・保険系システムの業務知識,システム,350万円～600万円,9:00～18:00,10～30H,3,,可,可,No451,不明
nk418IE,OSi001294,-,2022/2/1,2024/9/16,ﾉﾊﾞｼｽﾃﾑ大阪,大阪府,大阪市,堺筋本町,正社員,IT,保険システム・WEB請求対応 ・既存のシステムのWEB請求機能にて新たに対応する領域の追加を実施。 詳細設計からの作業となる。 ・設計～結合テスト,＜MUST＞ ・PHPでのシステム開発経験 ＜WANT＞ ・保険系システムの業務知識,システム,350万円～600万円,9:00～18:00,10～30H,3,,可,可,No451,不明
nk419ME,OSe001295,-,2022/2/1,2024/8/19,大和製衡,兵庫県,明石市,明石駅,正社員,機電,産業用はかりの設計,・ME10、Creo ・設計経験,産業用はかり,400万円～500万円,8:30～17:15,30H,3,不可,可,不可,,不明
nk420OE,OSe001296,-,2022/2/2,2024/8/19,ｸﾎﾞﾀｹﾐｯｸｽ,兵庫県,尼崎市,武庫川駅,正社員,その他,設備移設に伴う電気設計,・シーケンス制御の開発 ・AutoCAD,設備,400万円～600万円,8:00～16:30,20H,3,不可,可,不可,,不明
nk421II1,YKe001299,変更,2022/1/31,2024/8/19,ﾚｰｻﾞｰﾃｯｸ,神奈川県,横浜市,新横浜駅,正社員/契約社員,IT,海外の客先の装置立ち上げと、 初期運用のオペレーション,・柔軟に対応できるコミュニケーション力 ・1回1～2か月の海外出張が可能 ・装置のオペレーション経験,半導体検査装置,400～550万円,8:30～17：15,20,10,可,可,可,台湾入国制限がある為中国籍はＮＧ,不明
nk421II2,YKe001299,変更,2022/1/31,2024/8/19,ﾚｰｻﾞｰﾃｯｸ,神奈川県,横浜市,新横浜駅,正社員/契約社員,IT,海外の客先の装置立ち上げと、 初期運用のオペレーション,・柔軟に対応できるコミュニケーション力 ・1回1～2か月の海外出張が可能 ・装置のオペレーション経験,半導体検査装置,400～550万円,8:30～17：15,20,10,可,可,可,台湾入国制限がある為中国籍はＮＧ,不明
nk421IE,YKe001299,変更,2022/1/31,2024/8/19,ﾚｰｻﾞｰﾃｯｸ,神奈川県,横浜市,新横浜駅,正社員/契約社員,IT,海外の客先の装置立ち上げと、 初期運用のオペレーション,・柔軟に対応できるコミュニケーション力 ・1回1～2か月の海外出張が可能 ・装置のオペレーション経験,半導体検査装置,400～550万円,8:30～17：15,20,10,可,可,可,台湾入国制限がある為中国籍はＮＧ,不明
nk422OE,TKe001302,-,2022/2/7,2024/9/2,DNPｴﾙ･ｴｽ･ｱｲ･ﾃﾞｻﾞｲﾝ,東京都,品川区,五反田,正社員,その他,インプリ(P&R(APR)、STA等),・ICC/ICC2の使用経験(BE) ・STAタイミング解析経験(ME),LSI,400～600万円,9:00～18:00,0～20h,8,不可,可,可,在宅勤務可。業務内容、就業地相談可。フレックス使用。,不明
nk423OE,TKe001303,-,2022/2/7,2024/9/2,DNPｴﾙ･ｴｽ･ｱｲ･ﾃﾞｻﾞｲﾝ,神奈川県,厚木市,本厚木,正社員,その他,高速IF回路設計・検証,・T40n以降の設計プロセスにて設計経験 ・Cadence環境にて設計経験 ・回路設計・検証をを自走出来る,LSI,400～600万円,9:00～18:00,0～20h,3,不可,可,可,在宅勤務可。業務内容、就業地相談可。フレックス使用。,不明
nk424OE,TKe001304,-,2022/2/7,2024/9/2,DNPｴﾙ･ｴｽ･ｱｲ･ﾃﾞｻﾞｲﾝ,神奈川県,厚木市,本厚木,正社員,その他,CISアナログマクロ設計,(⊿ΣADCの回路設計経験ある方優遇) ・T40n以降の設計プロセスにて設計経験 ・Cadence環境にて設計経験 ・回路設計・検証をを自走出来る,LSI,400～600万円,9:00～18:00,0～20h,3,不可,可,可,在宅勤務可。業務内容、就業地相談可。フレックス使用。,不明
nk425OE,TKe001305,-,2022/2/7,2024/9/2,DNPｴﾙ･ｴｽ･ｱｲ･ﾃﾞｻﾞｲﾝ,埼玉県,ふじみ野市,上福岡,正社員,その他,論理設計検証・Lintチェック・仮合成,・ARM関連、高速IF、UVM、論理合成（ASIC、SoC経験者）,LSI,400～600万円,9:00～18:00,0～20h,3,不可,可,可,フレックス使用。業務内容、就業地相談可。,不明
nk426OE,TKe001306,-,2022/2/7,2024/9/2,ｻﾝｹﾝ電気,埼玉県,新座市,志木,正社員,その他,T7912Aを用いたICチップのチップ選別検査プログラム作成及びデバッグ,"・ICチップのテスト設計業務経験 ＜WANT＞ テスターT7912A、TS1000の操作 プローバUF200の操作 Basic,C+のプログラミング",IC,400～500万円,8:30～16:55,10H,3,不可,可,可,駅近。休憩時体育館使用可。,不明
nk427OE,OSe001313,-,2022/2/8,2024/8/19,日本ｼﾞｪｯﾄ,兵庫県,加西市,北条,正社員,その他,エンジンギヤ、ミッションギヤの生産技術 治具設計、等々,・生産技術の経験,設備,400～500万円,8:00～17:00,20,3,不可,可,不可,,不明
nk428IE,OSi001321,-,2022/2/11,2024/9/17,ｷｰｴﾝｽｴﾝｼﾞﾆｱﾘﾝｸﾞ,大阪府,高槻市,阪急高槻市駅,正社員,IT,社内SEとしてプログラム開発業務を担当,・VB.net開発経験1年以上 （他言語開発経験1年以上）,業務システム,350～650万円,9:00～17:00（休憩1h）,基本無し。 繁忙期はあり。,3,不可,可,不可,急募しております。,不明
nk429IE,OSi001322,-,2022/2/11,2024/9/18,ｷｰｴﾝｽ,大阪府,大阪市,新大阪駅,正社員,IT,汎用OSシステム上で動作するアプリケーション・組込ソフトウェアの設計、実装、テスト,・C・C++・Java言語いずれかのプログラミング言語での開発経験,ソフトウェア,450～650万円,9:00～18:00（休憩1h）,20H,3,不可,可,可,急募しております。,不明
nk430IE,SDe001323,-,2022/2/15,2024/8/8,ﾊｲﾃｸｼｽﾃﾑ,山形県,山形市,JR山形駅,正社員,IT,ソフトウェア設計開発(Web系･業務系),・プログラミング経験(経験言語問わず) ・コミュニケーション力,Webアプリケーション開発､業務系アプリケーション開発,280～600万円,9:00～18:00(休憩75分)※案件による,20,3,不可,可,不可,山形駅から徒歩10分。（通勤が便利！） 本社が東京で、全国各地に支店のある、大手IT企業でのお仕事です。 JAVAやVB.Net等の開発スキルを磨くことが出来ます。,不明
nk431II1,SDe001324,-,2022/2/17,2024/8/8,ﾂﾘｰﾍﾞﾙ,宮城県,仙台市,地下鉄広瀬通駅,正社員,IT,通信系企業の5G対応(C言語),・プログラミング勉強経験 （手を動かせること） ※実務経験問わず,Webアプリケーション開発､業務系アプリケーション開発,280～500万円,9:00～18:00(休憩75分)※案件による,20,3,可,可,不可,・仙台駅から徒歩10分程度の好立地 ・実務経験を問わない珍しい案件 ・プログラミング経験があり、自身で何かしたら成果物を作り上げたことがあればOK ・5Gの後は6Gの対応も控えており、長く携われる案件,不明
nk431II2,SDe001324,-,2022/2/17,2024/8/8,ﾂﾘｰﾍﾞﾙ,宮城県,仙台市,地下鉄広瀬通駅,正社員,IT,通信系企業の5G対応(C言語),・プログラミング勉強経験 （手を動かせること） ※実務経験問わず,Webアプリケーション開発､業務系アプリケーション開発,280～500万円,9:00～18:00(休憩75分)※案件による,20,3,可,可,不可,・仙台駅から徒歩10分程度の好立地 ・実務経験を問わない珍しい案件 ・プログラミング経験があり、自身で何かしたら成果物を作り上げたことがあればOK ・5Gの後は6Gの対応も控えており、長く携われる案件,不明
nk431IE,SDe001324,-,2022/2/17,2024/8/8,ﾂﾘｰﾍﾞﾙ,宮城県,仙台市,地下鉄広瀬通駅,正社員,IT,通信系企業の5G対応(C言語),・プログラミング勉強経験 （手を動かせること） ※実務経験問わず,Webアプリケーション開発､業務系アプリケーション開発,280～500万円,9:00～18:00(休憩75分)※案件による,20,3,可,可,不可,・仙台駅から徒歩10分程度の好立地 ・実務経験を問わない珍しい案件 ・プログラミング経験があり、自身で何かしたら成果物を作り上げたことがあればOK ・5Gの後は6Gの対応も控えており、長く携われる案件,不明
nk432RI1,SDe001327,-,2022/2/18,2024/8/30,日東電工,宮城県,大崎市,有備館駅,正社員/契約社員,R&D,医薬品の試験、分析法バリデーション、施設管理補助 器具洗浄、薬品管理、機器校正など,・医薬品分析 ・化成品分析 ・食品分析 ・ガラス体積計（メスフラスコ、ホールピペット、メスシリンダー、ビュレット）,医薬品,300万円～400万円,8:00～16:45（休憩50分）,20,3,可,可,可,マイカー通勤 医薬品メーカー品質系部署での勤務経験歓迎,不明
nk432RI2,SDe001327,-,2022/2/18,2024/8/30,日東電工,宮城県,大崎市,有備館駅,正社員/契約社員,R&D,医薬品の試験、分析法バリデーション、施設管理補助 器具洗浄、薬品管理、機器校正など,・医薬品分析 ・化成品分析 ・食品分析 ・ガラス体積計（メスフラスコ、ホールピペット、メスシリンダー、ビュレット）,医薬品,300万円～400万円,8:00～16:45（休憩50分）,20,3,可,可,可,マイカー通勤 医薬品メーカー品質系部署での勤務経験歓迎,不明
nk432RE,SDe001327,-,2022/2/18,2024/8/30,日東電工,宮城県,大崎市,有備館駅,正社員/契約社員,R&D,医薬品の試験、分析法バリデーション、施設管理補助 器具洗浄、薬品管理、機器校正など,・医薬品分析 ・化成品分析 ・食品分析 ・ガラス体積計（メスフラスコ、ホールピペット、メスシリンダー、ビュレット）,医薬品,300万円～400万円,8:00～16:45（休憩50分）,20,3,可,可,可,マイカー通勤 医薬品メーカー品質系部署での勤務経験歓迎,不明
nk433RI1,SDe001328,-,2022/2/18,2024/8/30,日東電工,宮城県,大崎市,有備館駅,正社員/契約社員,R&D,製造記録・試験検査記録のレビュー、品質システム関連文書の作成・改定、査察対応補助作業（資料作成等）,・PCスキル ・文章作成能力 ・ロジカルシンキング ・コミュニケーション力,医薬品,300万円～400万円,8:00～16:45（休憩50分）,20,3,可,可,可,マイカー通勤 医薬品メーカー品質系部署での勤務経験歓迎,不明
nk433RI2,SDe001328,-,2022/2/18,2024/8/30,日東電工,宮城県,大崎市,有備館駅,正社員/契約社員,R&D,製造記録・試験検査記録のレビュー、品質システム関連文書の作成・改定、査察対応補助作業（資料作成等）,・PCスキル ・文章作成能力 ・ロジカルシンキング ・コミュニケーション力,医薬品,300万円～400万円,8:00～16:45（休憩50分）,20,3,可,可,可,マイカー通勤 医薬品メーカー品質系部署での勤務経験歓迎,不明
nk433RE,SDe001328,-,2022/2/18,2024/8/30,日東電工,宮城県,大崎市,有備館駅,正社員/契約社員,R&D,製造記録・試験検査記録のレビュー、品質システム関連文書の作成・改定、査察対応補助作業（資料作成等）,・PCスキル ・文章作成能力 ・ロジカルシンキング ・コミュニケーション力,医薬品,300万円～400万円,8:00～16:45（休憩50分）,20,3,可,可,可,マイカー通勤 医薬品メーカー品質系部署での勤務経験歓迎,不明
nk434II1,SDe001331,-,2022/2/21,2024/8/30,積水ﾊｳｽ,宮城県,加美郡,西古川駅,正社員/契約社員,IT,社内SE+保全（VB6、VB.Net、電気回路等）,・プログラミングにて現場設備における生産指示経験者を希望,社内SE,430～500万円,9:00～18:00（休憩1h）,20,3,可,可,可,,不明
nk434II2,SDe001331,-,2022/2/21,2024/8/30,積水ﾊｳｽ,宮城県,加美郡,西古川駅,正社員/契約社員,IT,社内SE+保全（VB6、VB.Net、電気回路等）,・プログラミングにて現場設備における生産指示経験者を希望,社内SE,430～500万円,9:00～18:00（休憩1h）,20,3,可,可,可,,不明
nk434IE,SDe001331,-,2022/2/21,2024/8/30,積水ﾊｳｽ,宮城県,加美郡,西古川駅,正社員/契約社員,IT,社内SE+保全（VB6、VB.Net、電気回路等）,・プログラミングにて現場設備における生産指示経験者を希望,社内SE,430～500万円,9:00～18:00（休憩1h）,20,3,可,可,可,,不明
nk435ME,NGi001341,変更,2022/3/2,2024/9/19,富士ｿﾌﾄ名古屋,愛知県,名古屋市,伏見駅、丸の内駅,正社員,機電,ロボット開発・AGV開発,・ソフトウェア開発に関する知識、経験 ・Java／JavaScript／C#／Python／C++／React／MATLAB何れかの開発経験 ・ROS／OpenCV／LiDAR／AWS／Azure何れかの開発経験 ※経験3年以上,ロボット／AGV,300万円～600万円,9:00-17:30,20,15,不可,可,可,ﾌﾟﾛｼﾞｪｸﾄによっては在宅（ﾘﾓｰﾄﾜｰｸ）可。 ※リモートワークの条件 機材を必要とする業務や納品間際、進捗遅れなどが発生する場合は出社。参画当初は、在宅の準備もあり、1週間ほどは出社となる予定。,不明
nk436IE,NGi001346,変更,2022/3/16,2024/9/20,コネクティボ,愛知県,名古屋市,久屋大通駅,正社員,IT,某製造業社のポータルサイト追加制作,＜MUST＞ ・PHP、Laravel、JavaScript ＜WANT＞ ・jQuery、Bootstrap、WordPressRESTAPI、MariaDB AWS,ポータルサイト構築,300万円～600万円,9:30～18:30,20,,不可,可,可,スキルが十分であればリモートワーク可 6/1日開始,不明
nk437IE,HSe001348,変更,2022/3/17,2024/8/6,住友重機械ｲｵﾝﾃｸﾉﾛｼﾞｰ愛媛事業所,愛媛県,西条市,玉之江駅,正社員,IT,半導体製造装置(イオン注入装置)のセットアップ業務,＜MUST＞ ・なにかしらの設備保全または立上げ経験、国内出張が可能であること ＜WANT＞ ・半導体製造装置の立上げ経験,半導体製造装置(イオン注入装置),350万円～600万円,9:00～18:00,20,複数,不可,可,可,全国の半導体工場へ出張がございます,不明
nk438ME,NGi001355,変更,2022/3/18,2024/9/21,PCIｿﾘｭｰｼｮﾝｽﾞ,愛知県,名古屋市,名古屋駅,正社員/契約社員,機電,IVI開発,・車載組込み開発経験､C++,車載,350万円～600万円,9:00～18:00,20,3,不可,可,可,,不明
nk439IE,NGi001366,変更,2022/3/28,2024/9/22,ｶｺﾑｽ,愛知県,名古屋市,伏見駅,正社員/契約社員,IT,フォークリフトの部品表作成システム,＜MUST＞ ・Java ＜WANT＞ ・VB.NET、Oracle、PL/SQL、部品表、生産管理のシステム経験,システム,350万～450万,9:00～18:00,20H,3,不可,可,不可,,不明
